#nid,label,prop1,prop2,prop3,start,end
14,person,,high,neg,25,26
14,person,,high,neg,27,28
14,person,,high,neg,29,32
14,person,,high,neg,33,34
14,person,,high,neg,35,38
14,person,,high,neg,40,42
14,person,,high,neg,43,44
14,person,,high,neg,45,47
14,person,,high,neg,48,49
15,person,,low,neg,1,2
15,person,,low,neg,3,5
15,person,,low,neg,8,11
15,person,,low,neg,12,14
15,person,,low,neg,15,16
15,person,,low,neg,17,20
15,person,,low,neg,21,23
15,person,,low,neg,24,25
15,person,,low,neg,28,29
15,person,,low,neg,30,32
15,person,,low,pos,35,36
15,person,,low,neg,38,39
15,person,,low,pos,42,43
15,person,,low,neg,44,46
15,person,,low,neg,47,49
16,person,,low,neg,1,2
16,person,,low,neg,3,5
16,person,,low,neg,6,9
16,person,,low,neg,10,11
16,person,,low,neg,15,17
16,person,,low,neg,18,19
16,person,,low,neg,20,22
16,person,,low,neg,23,25
16,person,,low,neg,26,28
16,person,,low,neg,29,30
16,person,,low,neg,31,33
16,person,,low,pos,35,36
16,person,,low,neg,37,39
16,person,,low,neg,40,41
16,person,,low,neg,42,43
16,person,,low,neg,45,48
17,person,,low,neg,1,4
17,person,,low,neg,6,7
17,person,,low,neg,8,10
17,person,,low,neg,12,14
17,person,,low,neg,15,16
17,person,,low,neg,17,19
17,person,,low,neg,20,23
17,person,,low,neg,24,25
17,person,,low,neg,26,27
17,person,,low,neg,28,31
17,person,,low,neg,32,33
17,person,,low,neg,34,36
17,person,,low,neg,37,38
17,person,,low,neg,40,42
17,person,,low,neg,43,45
17,person,,low,neg,47,49
18,person,,low,neg,3,4
18,person,,low,neg,6,9
18,person,,low,neg,11,12
18,person,,low,neg,18,19
18,person,,low,neg,21,22
18,person,,low,neg,23,24
18,person,,low,neg,25,27
18,person,,low,neg,29,31
18,person,,low,neg,33,35
18,person,,low,neg,39,41
18,person,,low,neg,43,45
18,person,,low,neg,46,48
19,person,,low,neg,2,4
19,person,,low,neg,11,13
19,person,,low,neg,15,18
19,person,,low,neg,19,22
19,person,,low,neg,23,25
19,person,,low,neg,26,28
19,person,,low,neg,29,30
19,person,,low,neg,31,32
19,person,,low,neg,33,36
19,person,,low,neg,38,40
19,person,,low,neg,42,43
19,person,,low,neg,44,47
19,person,,low,neg,48,50
20,person,,low,neg,2,5
20,person,,low,neg,6,9
20,person,,low,neg,11,12
20,person,,low,neg,14,16
20,person,,low,neg,17,19
20,person,,low,neg,20,22
20,person,,low,neg,23,26
20,person,,low,neg,27,28
20,person,,low,neg,29,31
20,person,,low,neg,33,36
20,person,,low,neg,37,38
20,person,,low,neg,39,42
20,person,,low,neg,43,45
20,person,,low,neg,47,49
21,person,,high,neg,1,2
21,person,,high,neg,4,5
21,person,,high,neg,7,10
21,person,,high,neg,11,14
21,person,,high,neg,15,16
21,person,,high,neg,18,19
21,person,,high,neg,21,22
21,person,,high,neg,23,25
21,person,,high,neg,26,28
21,person,,high,neg,32,33
21,person,,high,neg,34,36
21,person,,high,neg,37,39
21,person,,high,neg,41,42
21,person,,high,neg,43,46
21,person,,high,neg,48,51
22,person,,low,neg,1,4
22,person,,low,neg,5,7
22,person,,low,neg,8,9
22,person,,low,neg,10,13
22,person,,low,neg,14,15
22,person,,low,neg,16,18
22,person,,low,neg,20,22
22,person,,low,neg,23,25
22,person,,low,neg,26,28
22,person,,low,neg,29,32
22,person,,low,neg,33,36
22,person,,low,neg,37,38
22,person,,low,neg,39,42
22,person,,low,neg,43,45
22,person,,low,neg,47,49
23,person,,low,neg,2,3
23,person,,low,neg,4,6
23,person,,low,neg,8,11
23,person,,low,neg,12,14
23,person,,low,neg,15,17
23,person,,low,neg,18,19
23,person,,low,neg,20,22
23,person,,low,neg,23,25
23,person,,low,neg,26,27
23,person,,low,neg,28,30
23,person,,low,neg,32,35
23,person,,low,neg,36,37
23,person,,low,neg,40,41
23,person,,low,neg,42,43
23,person,,low,neg,44,47
23,person,,low,neg,48,49
24,person,,low,neg,1,2
24,person,,low,neg,5,6
24,person,,low,neg,7,10
24,person,,low,neg,11,12
24,person,,low,neg,14,16
24,person,,low,neg,17,19
24,person,,low,neg,20,22
24,person,,low,neg,23,24
24,person,,low,neg,25,26
24,person,,low,neg,28,30
24,person,,low,neg,31,32
24,person,,low,neg,33,35
24,person,,low,neg,36,37
24,person,,low,neg,38,39
24,person,,low,neg,41,43
24,person,,low,neg,45,46
24,person,,low,neg,48,49
25,person,,low,neg,1,2
25,person,,low,neg,3,4
25,person,,low,neg,5,6
25,person,,low,neg,7,9
25,person,,low,neg,10,12
25,person,,low,pos,13,15
25,person,,low,neg,17,18
25,person,,low,neg,21,22
25,person,,low,pos,23,25
25,person,,low,neg,26,27
25,person,,low,neg,28,31
25,person,,low,neg,34,35
25,person,,low,neg,36,38
25,person,,low,neg,39,41
25,person,,low,neg,42,45
25,person,,low,neg,47,48
26,person,,low,neg,1,2
26,person,,low,neg,5,7
26,person,,low,neg,9,10
26,person,,low,neg,11,13
26,person,,low,neg,14,15
26,person,,low,neg,17,18
26,person,,low,neg,19,21
26,person,,low,neg,22,23
26,person,,low,neg,25,26
26,person,,low,neg,27,29
26,person,,low,neg,30,32
26,person,,low,neg,33,36
26,person,,low,neg,39,42
26,person,,low,neg,43,45
26,person,,low,neg,47,50
27,person,,low,neg,2,5
27,person,,low,neg,9,10
27,person,,low,neg,11,13
27,person,,low,neg,15,16
27,person,,low,neg,17,19
27,person,,low,neg,21,23
27,person,,low,neg,26,29
27,person,,low,neg,30,32
27,person,,low,neg,33,36
27,person,,low,neg,37,38
27,person,,low,neg,39,40
27,person,,low,neg,41,42
27,person,,low,neg,44,45
27,person,,low,neg,46,47
27,person,,low,neg,48,49
28,person,,low,neg,1,2
28,person,,low,neg,3,6
28,person,,low,neg,7,8
28,person,,low,neg,9,11
28,person,,low,neg,12,13
28,person,,low,neg,14,16
28,person,,low,neg,17,19
28,person,,low,neg,20,23
28,person,,low,neg,24,26
28,person,,low,neg,27,29
28,person,,low,neg,31,32
28,person,,low,neg,33,34
28,person,,low,neg,35,36
28,person,,low,neg,37,38
28,person,,low,neg,39,41
28,person,,low,neg,42,44
28,person,,low,neg,45,46
28,person,,low,neg,47,50
29,person,,low,neg,2,5
29,person,,low,neg,6,7
29,person,,low,neg,8,9
29,person,,low,neg,10,11
29,person,,low,neg,12,13
29,person,,low,neg,15,16
29,person,,low,neg,17,19
29,person,,low,neg,20,21
29,person,,low,neg,22,25
29,person,,low,neg,26,27
29,person,,low,neg,31,32
29,person,,low,neg,35,36
29,person,,low,neg,38,39
29,person,,low,neg,41,42
29,person,,low,neg,45,46
29,person,,low,pos,47,50
30,person,,low,neg,1,2
30,person,,low,neg,3,4
30,person,,low,neg,5,8
30,person,,low,neg,9,12
30,person,,low,neg,13,14
30,person,,low,neg,15,17
30,person,,low,neg,18,19
30,person,,low,neg,20,23
30,person,,low,neg,26,28
30,person,,low,neg,30,31
30,person,,low,neg,33,34
30,person,,low,neg,35,36
30,person,,low,neg,37,38
30,person,,low,neg,40,43
30,person,,low,neg,45,48
31,person,,high,neg,1,3
31,person,,high,neg,4,6
31,person,,high,neg,7,9
31,person,,high,neg,10,12
31,person,,high,neg,13,14
31,person,,high,neg,15,17
31,person,,high,neg,20,22
31,person,,high,pos,23,24
31,person,,high,neg,25,26
31,person,,high,neg,27,29
31,person,,high,neg,30,31
31,person,,high,neg,32,34
31,person,,high,neg,35,38
31,person,,high,neg,39,41
31,person,,high,neg,42,45
31,person,,high,neg,47,48
32,person,,low,neg,1,3
32,person,,low,neg,6,7
32,person,,low,neg,8,11
32,person,,low,neg,12,14
32,person,,low,neg,15,16
32,person,,low,neg,17,19
32,person,,low,neg,20,21
32,person,,low,neg,22,23
32,person,,low,pos,24,27
32,person,,low,neg,30,31
32,person,,low,neg,32,34
32,person,,low,neg,35,38
32,person,,low,neg,40,41
32,person,,low,neg,43,44
32,person,,low,neg,45,48
32,person,,low,neg,49,52
33,person,,low,neg,1,2
33,person,,low,neg,3,6
33,person,,low,neg,8,9
33,person,,low,neg,10,13
33,person,,low,neg,15,16
33,person,,low,neg,18,20
33,person,,low,neg,21,24
33,person,,low,neg,25,26
33,person,,low,neg,27,28
33,person,,low,neg,29,30
33,person,,low,neg,32,35
33,person,,low,neg,37,38
33,person,,low,neg,40,41
33,person,,low,neg,42,43
33,person,,low,neg,45,47
33,person,,low,neg,48,50
34,person,,low,neg,2,5
34,person,,low,neg,7,8
34,person,,low,neg,9,12
34,person,,low,pos,13,15
34,person,,low,neg,16,18
34,person,,low,neg,19,20
34,person,,low,neg,21,24
34,person,,low,neg,26,29
34,person,,low,neg,31,32
34,person,,low,neg,33,35
34,person,,low,neg,36,38
34,person,,low,neg,39,42
34,person,,low,neg,43,46
34,person,,low,neg,47,50
35,person,,low,neg,2,5
35,person,,low,neg,6,9
35,person,,low,neg,11,12
35,person,,low,neg,13,14
35,person,,low,neg,15,16
35,person,,low,neg,17,18
35,person,,low,neg,19,20
35,person,,low,neg,21,24
35,person,,low,neg,25,26
35,person,,low,neg,29,31
35,person,,low,neg,32,34
35,person,,low,neg,35,36
35,person,,low,neg,38,40
35,person,,low,neg,41,43
35,person,,low,neg,44,45
35,person,,low,neg,46,48
35,person,,low,neg,49,51
36,person,,low,neg,1,4
36,person,,low,neg,5,7
36,person,,low,neg,8,9
36,person,,low,neg,10,11
36,person,,low,neg,12,15
36,person,,low,neg,16,18
36,person,,low,neg,20,21
36,person,,low,neg,22,23
36,person,,low,neg,25,28
36,person,,low,neg,31,34
36,person,,low,neg,35,37
36,person,,low,neg,39,41
36,person,,low,neg,42,43
36,person,,low,neg,44,45
36,person,,low,neg,47,48
37,person,,low,neg,3,6
37,person,,low,neg,7,10
37,person,,low,neg,11,14
37,person,,low,neg,15,17
37,person,,low,neg,18,21
37,person,,low,neg,22,24
37,person,,low,neg,25,26
37,person,,low,neg,29,31
37,person,,low,neg,32,33
37,person,,low,neg,36,38
37,person,,low,neg,39,42
37,person,,low,neg,43,46
37,person,,low,neg,47,48
38,person,,low,neg,1,2
38,person,,low,neg,4,6
38,person,,low,pos,8,10
38,person,,low,neg,12,15
38,person,,low,neg,16,17
38,person,,low,neg,18,19
38,person,,low,neg,20,21
38,person,,low,neg,23,25
38,person,,low,pos,26,27
38,person,,low,neg,28,29
38,person,,low,neg,30,31
38,person,,low,neg,32,34
38,person,,low,neg,35,37
38,person,,low,neg,38,39
38,person,,low,neg,40,41
38,person,,low,neg,43,44
38,person,,low,neg,45,47
38,person,,low,neg,48,50
39,person,,low,neg,2,4
39,person,,low,neg,5,8
39,person,,low,neg,9,10
39,person,,low,neg,12,14
39,person,,low,neg,16,19
39,person,,low,neg,20,21
39,person,,low,neg,22,24
39,person,,low,neg,25,26
39,person,,low,neg,27,28
39,person,,low,neg,29,31
39,person,,low,neg,32,33
39,person,,low,neg,34,36
39,person,,low,neg,38,39
39,person,,low,neg,40,42
39,person,,low,neg,43,45
39,person,,low,neg,46,47
39,person,,low,neg,48,50
40,person,,high,neg,2,4
40,person,,high,neg,5,7
40,person,,high,neg,8,11
40,person,,high,neg,12,15
40,person,,high,neg,16,18
40,person,,high,neg,19,22
40,person,,high,neg,23,25
40,person,,high,neg,26,27
40,person,,high,neg,28,31
40,person,,high,neg,32,33
40,person,,high,neg,34,35
40,person,,high,pos,36,38
40,person,,high,neg,40,43
40,person,,high,neg,45,46
40,person,,high,neg,47,49
41,person,,low,neg,1,2
41,person,,low,neg,3,4
41,person,,low,neg,5,7
41,person,,low,pos,8,9
41,person,,low,neg,12,14
41,person,,low,neg,15,17
41,person,,low,neg,18,20
41,person,,low,neg,22,23
41,person,,low,neg,25,26
41,person,,low,neg,27,29
41,person,,low,neg,30,33
41,person,,low,neg,34,35
41,person,,low,neg,36,39
41,person,,low,neg,40,41
41,person,,low,neg,42,45
41,person,,low,neg,46,47
41,person,,low,neg,48,50
42,person,,low,neg,1,3
42,person,,low,neg,5,7
42,person,,low,neg,8,9
42,person,,low,neg,10,12
42,person,,low,neg,13,15
42,person,,low,neg,17,18
42,person,,low,neg,19,21
42,person,,low,neg,22,23
42,person,,low,neg,25,27
42,person,,low,neg,28,31
42,person,,low,neg,32,33
42,person,,low,neg,34,35
42,person,,low,neg,36,37
42,person,,low,neg,39,42
42,person,,low,neg,43,44
42,person,,low,neg,45,47
42,person,,low,neg,48,49
43,person,,low,neg,1,2
43,person,,low,neg,4,5
43,person,,low,neg,6,8
43,person,,low,pos,9,11
43,person,,low,neg,12,14
43,person,,low,neg,15,17
43,person,,low,neg,18,20
43,person,,low,neg,22,24
43,person,,low,neg,26,28
43,person,,low,neg,29,30
43,person,,low,neg,36,38
43,person,,low,neg,39,42
43,person,,low,neg,43,45
43,person,,low,neg,46,47
44,person,,low,neg,1,4
44,person,,low,neg,5,6
44,person,,low,neg,8,9
44,person,,low,neg,10,11
44,person,,low,neg,12,14
44,person,,low,neg,15,17
44,person,,low,neg,19,20
44,person,,low,neg,21,22
44,person,,low,neg,23,26
44,person,,low,neg,27,29
44,person,,low,pos,30,32
44,person,,low,neg,33,35
44,person,,low,neg,36,38
44,person,,low,neg,39,41
44,person,,low,neg,44,45
44,person,,low,neg,46,49
45,person,,low,neg,1,3
45,person,,low,neg,5,6
45,person,,low,neg,8,9
45,person,,low,neg,11,14
45,person,,low,neg,15,18
45,person,,low,neg,19,20
45,person,,low,neg,22,23
45,person,,low,neg,25,26
45,person,,low,neg,27,29
45,person,,low,neg,31,33
45,person,,low,neg,35,36
45,person,,low,neg,37,39
45,person,,low,neg,40,41
45,person,,low,neg,42,44
45,person,,low,neg,46,49
46,person,,low,neg,1,2
46,person,,low,neg,3,4
46,person,,low,neg,5,7
46,person,,low,neg,8,10
46,person,,low,neg,11,12
46,person,,low,neg,14,15
46,person,,low,neg,16,18
46,person,,low,neg,19,20
46,person,,low,neg,21,22
46,person,,low,neg,23,24
46,person,,low,neg,26,28
46,person,,low,neg,30,33
46,person,,low,neg,34,36
46,person,,low,neg,38,39
46,person,,low,neg,40,41
46,person,,low,neg,42,44
46,person,,low,neg,45,46
46,person,,low,neg,47,50
47,person,,low,neg,1,3
47,person,,low,neg,4,7
47,person,,low,neg,8,10
47,person,,low,neg,12,14
47,person,,low,neg,15,16
47,person,,low,pos,19,20
47,person,,low,neg,21,22
47,person,,low,neg,23,26
47,person,,low,neg,27,30
47,person,,low,neg,31,33
47,person,,low,neg,34,37
47,person,,low,neg,38,41
47,person,,low,neg,44,47
47,person,,low,neg,48,49
48,person,,low,neg,4,6
48,person,,low,neg,8,10
48,person,,low,neg,12,13
48,person,,low,neg,15,16
48,person,,low,neg,17,20
48,person,,low,neg,23,24
48,person,,low,neg,25,27
48,person,,low,neg,29,30
48,person,,low,neg,31,32
48,person,,low,neg,33,36
48,person,,low,neg,40,41
48,person,,low,neg,42,43
48,person,,low,neg,44,47
48,person,,low,neg,48,50
49,person,,high,neg,1,2
49,person,,high,neg,3,4
49,person,,high,neg,6,8
49,person,,high,pos,10,13
49,person,,high,pos,14,16
49,person,,high,neg,17,18
49,person,,high,neg,19,20
49,person,,high,neg,21,24
49,person,,high,neg,25,26
49,person,,high,neg,27,28
49,person,,high,neg,29,32
49,person,,high,neg,33,35
49,person,,high,neg,36,37
49,person,,high,neg,38,39
49,person,,high,pos,40,41
49,person,,high,neg,42,43
49,person,,high,neg,45,47
49,person,,high,neg,48,49
50,person,,low,neg,3,5
50,person,,low,neg,6,7
50,person,,low,neg,10,12
50,person,,low,neg,13,14
50,person,,low,neg,16,18
50,person,,low,neg,20,23
50,person,,low,neg,25,26
50,person,,low,neg,28,30
50,person,,low,neg,34,35
50,person,,low,neg,36,38
50,person,,low,neg,39,42
50,person,,low,neg,43,45
50,person,,low,neg,49,50
51,person,,low,neg,1,2
51,person,,low,neg,3,5
51,person,,low,neg,6,9
51,person,,low,neg,13,16
51,person,,low,neg,21,23
51,person,,low,neg,25,27
51,person,,low,neg,28,31
51,person,,low,neg,33,34
51,person,,low,neg,36,37
51,person,,low,neg,39,40
51,person,,low,neg,41,43
51,person,,low,neg,44,47
51,person,,low,neg,48,50
52,person,,low,neg,1,3
52,person,,low,neg,5,7
52,person,,low,neg,9,11
52,person,,low,neg,14,15
52,person,,low,neg,16,17
52,person,,low,neg,18,20
52,person,,low,neg,22,23
52,person,,low,neg,24,27
52,person,,low,neg,28,29
52,person,,low,neg,30,33
52,person,,low,neg,34,36
52,person,,low,pos,37,39
52,person,,low,neg,40,43
52,person,,low,neg,44,47
53,person,,low,neg,1,4
53,person,,low,neg,5,7
53,person,,low,neg,8,9
53,person,,low,neg,11,13
53,person,,low,neg,14,15
53,person,,low,neg,16,17
53,person,,low,neg,18,19
53,person,,low,neg,20,21
53,person,,low,neg,22,24
53,person,,low,neg,26,27
53,person,,low,neg,28,30
53,person,,low,neg,31,32
53,person,,low,neg,34,35
53,person,,low,neg,37,38
53,person,,low,neg,39,41
53,person,,low,neg,43,46
53,person,,low,neg,47,49
54,person,,low,neg,2,3
54,person,,low,neg,5,8
54,person,,low,neg,9,11
54,person,,low,neg,12,15
54,person,,low,neg,16,17
54,person,,low,neg,19,22
54,person,,low,neg,23,24
54,person,,low,neg,26,27
54,person,,low,neg,28,30
54,person,,low,neg,31,34
54,person,,low,neg,35,37
54,person,,low,neg,39,42
54,person,,low,neg,43,46
54,person,,low,neg,48,49
55,person,,low,neg,1,2
55,person,,low,neg,3,4
55,person,,low,neg,5,6
55,person,,low,pos,7,9
55,person,,low,neg,10,13
55,person,,low,neg,14,15
55,person,,low,neg,16,19
55,person,,low,neg,20,23
55,person,,low,neg,24,25
55,person,,low,neg,26,28
55,person,,low,neg,29,32
55,person,,low,neg,33,34
55,person,,low,neg,35,36
55,person,,low,neg,37,38
55,person,,low,neg,39,40
55,person,,low,neg,41,43
55,person,,low,neg,46,47
55,person,,low,neg,48,49
56,person,,high,neg,1,3
56,person,,high,neg,4,7
56,person,,high,neg,9,10
56,person,,high,neg,13,15
56,person,,high,neg,16,18
56,person,,high,neg,19,21
56,person,,high,neg,22,25
56,person,,high,neg,27,29
56,person,,high,neg,31,33
56,person,,high,neg,34,37
56,person,,high,neg,38,41
56,person,,high,neg,42,44
56,person,,high,neg,45,47
56,person,,high,neg,48,49
57,person,,low,neg,1,4
57,person,,low,neg,5,7
57,person,,low,neg,8,9
57,person,,low,neg,14,15
57,person,,low,neg,16,19
57,person,,low,neg,22,24
57,person,,low,neg,26,27
57,person,,low,neg,28,29
57,person,,low,neg,30,32
57,person,,low,neg,33,34
57,person,,low,neg,35,38
57,person,,low,neg,39,40
57,person,,low,neg,41,42
57,person,,low,neg,43,44
57,person,,low,neg,45,48
58,person,,low,neg,1,2
58,person,,low,neg,3,4
58,person,,low,neg,5,7
58,person,,low,neg,8,9
58,person,,low,neg,10,12
58,person,,low,neg,14,15
58,person,,low,neg,17,18
58,person,,low,neg,24,26
58,person,,low,neg,27,28
58,person,,low,pos,29,32
58,person,,low,neg,33,35
58,person,,low,neg,36,39
58,person,,low,neg,40,41
58,person,,low,neg,42,45
59,person,,low,neg,1,2
59,person,,low,neg,3,6
59,person,,low,pos,9,11
59,person,,low,neg,12,13
59,person,,low,neg,15,16
59,person,,low,neg,18,20
59,person,,low,neg,21,24
59,person,,low,neg,25,26
59,person,,low,neg,27,29
59,person,,low,neg,31,33
59,person,,low,neg,35,38
59,person,,low,neg,39,42
59,person,,low,neg,43,45
59,person,,low,neg,47,48
60,person,,low,pos,1,3
60,person,,low,neg,4,6
60,person,,low,neg,8,9
60,person,,low,neg,10,12
60,person,,low,neg,16,17
60,person,,low,neg,18,19
60,person,,low,neg,21,22
60,person,,low,neg,23,25
60,person,,low,neg,28,29
60,person,,low,neg,30,32
60,person,,low,neg,33,35
60,person,,low,neg,37,39
60,person,,low,neg,40,41
60,person,,low,neg,43,44
60,person,,low,pos,45,47
60,person,,low,neg,48,51
61,person,,low,neg,1,4
61,person,,low,pos,5,8
61,person,,low,pos,9,10
61,person,,low,neg,11,12
61,person,,low,neg,13,15
61,person,,low,neg,17,20
61,person,,low,neg,22,25
61,person,,low,neg,26,27
61,person,,low,neg,28,30
61,person,,low,neg,32,34
61,person,,low,neg,35,37
61,person,,low,neg,38,41
61,person,,low,neg,44,46
61,person,,low,neg,48,51
62,person,,low,neg,2,4
62,person,,low,neg,5,7
62,person,,low,pos,8,9
62,person,,low,neg,11,12
62,person,,low,neg,13,16
62,person,,low,neg,18,20
62,person,,low,neg,23,24
62,person,,low,neg,26,28
62,person,,low,neg,29,31
62,person,,low,neg,32,33
62,person,,low,neg,34,36
62,person,,low,neg,37,39
62,person,,low,neg,41,42
62,person,,low,neg,43,45
62,person,,low,neg,46,49
63,person,,low,neg,1,2
63,person,,low,neg,3,4
63,person,,low,neg,5,7
63,person,,low,neg,8,11
63,person,,low,neg,12,14
63,person,,low,neg,16,17
63,person,,low,neg,18,21
63,person,,low,neg,24,25
63,person,,low,neg,26,27
63,person,,low,neg,29,31
63,person,,low,neg,33,34
63,person,,low,neg,39,41
63,person,,low,neg,44,47
63,person,,low,neg,48,50
64,person,,low,neg,1,2
64,person,,low,neg,3,4
64,person,,low,neg,6,8
64,person,,low,neg,9,10
64,person,,low,neg,12,14
64,person,,low,neg,15,17
64,person,,low,neg,19,22
64,person,,low,neg,23,24
64,person,,low,neg,25,26
64,person,,low,neg,27,28
64,person,,low,neg,31,33
64,person,,low,neg,34,36
64,person,,low,neg,37,38
64,person,,low,neg,41,43
64,person,,low,neg,44,46
65,person,,low,neg,1,2
65,person,,low,neg,3,5
65,person,,low,neg,6,8
65,person,,low,neg,9,10
65,person,,low,neg,11,13
65,person,,low,neg,14,16
65,person,,low,neg,17,18
65,person,,low,neg,19,20
65,person,,low,neg,21,23
65,person,,low,neg,24,27
65,person,,low,pos,30,31
65,person,,low,neg,32,34
65,person,,low,pos,36,38
65,person,,low,neg,39,42
65,person,,low,neg,43,44
65,person,,low,neg,46,48
66,person,,low,neg,1,4
66,person,,low,neg,5,6
66,person,,low,neg,7,9
66,person,,low,neg,11,14
66,person,,low,neg,15,16
66,person,,low,neg,17,18
